trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.27445354472714856}",25,0,11.922381904316167,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,13,12.324425723976695,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,13,-8.759645885348185,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,16,7.013937333991811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",30,0,-16.365557161555785,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",20,7,17.61653719082868,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",20,13,12.69518515053575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",20,2,-28.151023303332366,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,15,-35.04692279596783,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",25,1,-7.267242915591828,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",20,9,16.69913369415718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",25,6,17.6319581012237,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,0,25.66715067903722,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",20,0,-24.090380066172372,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",30,13,-19.74285117209262,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,11,4.747259281050253,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204067}",20,13,14.451226980626256,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039985}",30,15,23.596576892408407,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19078235561879187}",20,12,-28.893736007928617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.18696670850641603}",30,0,30.61229235770848,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.18322737433628772}",25,2,25.26114392135975,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.17956282684956196}",30,12,33.59362991131796,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.1759715703125707}",30,19,8.921504786256463,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.1724521389063193}",25,2,28.534021036658377,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.16900309612819292}",20,0,-35.970918364205595,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.16562303420562907}",30,15,28.05720775437239,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16231057352151648}",20,11,15.421554715173546,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.15906436205108615}",30,12,28.391699652019298,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15588307481006441}",25,17,15.116346316892944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15276541331386312}",25,0,0.1227604817768142,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.14971010504758586}",25,6,34.680555663750646,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14671590294663414}",20,12,-43.58832428197183,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.14378158488770146}",25,6,10.577156196272625,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14090595318994742}",30,16,23.9420984559475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.13808783412614847}",20,0,14.896898120002255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.13532607744362551}",20,0,3.206755613178129,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.132619555894753}",25,15,8.751457156218905,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.12996716477685794}",20,9,12.894372634009866,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.12736782148132078}",20,6,-61.18607115378861,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.12482046505169436}",20,10,17.914233087967435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12232405575066048}",25,12,22.97542660466913,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.11987757463564727}",20,1,19.9888520371317,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.11748002314293432}",35,9,41.863944198843214,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11513042268007563}",20,6,22.717062746242426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11282781422647412}",20,12,8.045206594450928,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11057125794194463}",25,18,11.0414132562696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.10835983278310574}",25,8,25.474966473168816,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10619263612744362}",20,10,16.40131532536075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10406878340489474}",20,16,8.505629710690666,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.10198740773679685}",35,12,29.552240922130256,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.09994765958206091}",20,13,-1.4251954817864154,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0979487063904197}",30,21,15.02080571446989,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0959897322626113}",25,19,12.271692401720337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
