trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.037898695559615975}",25,19,-29.38986955680271,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.03714072164842366}",30,6,41.57355291587102,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.03639790721545518}",30,18,23.908388741015408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.035669949071146075}",20,13,17.736803539267264,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.034956550089723155}",30,20,17.976791884835087,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03425741908792869}",20,4,27.12215277610317,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03357227070617012}",25,8,-1.0026755053399663,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.032900825292046715}",20,7,20.97131480990495,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03224280878620578}",25,11,25.908020338035954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.031597952610481664}",25,18,11.23267888262772,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03096599355827203}",20,14,8.712231007667029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.030346673687106588}",30,3,44.02828191250923,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.029739740213364455}",35,0,32.63111544754221,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.029144945409097164}",25,0,29.32276624239461,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.02856204650091522}",25,11,8.473569847399832,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.027990805570896914}",25,7,32.28569280336653,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.027430989459478975}",35,19,30.17719439365913,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.026882369670289397}",25,0,34.620425191398205,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.026344722276883607}",25,15,19.418491608829687,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.025817827831345935}",25,15,17.12786781555407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.025301471274719014}",25,11,24.07024934358803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.024795441849224633}",25,14,20.017921960141432,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
